# Y1,Y2,label
-1.084011762637857856e+01,7.349993845342925880e+00,2.000000000000000000e+00
2.273874709446794995e+01,5.629066138495649341e+01,1.000000000000000000e+00
2.598016042336894316e+01,4.730471105908002727e+01,1.000000000000000000e+00
-1.635120966281783339e+01,4.668779208161162586e+01,1.000000000000000000e+00
7.366773112738314921e+01,-3.340967218268387739e+01,3.000000000000000000e+00
-4.812239665839378233e+01,6.661134157960508162e+01,1.000000000000000000e+00
3.441756006353030273e+01,-1.928524218787033107e+01,3.000000000000000000e+00
-5.778447661261699153e+01,6.657320538748192007e+01,1.000000000000000000e+00
5.863036810252581432e+01,-1.208504096451291332e+01,3.000000000000000000e+00
-5.986852182659877286e+01,-2.677079601569358047e+01,2.000000000000000000e+00
-3.737216820869184630e+01,6.538056797231088524e+01,1.000000000000000000e+00
-8.626219529246862194e+00,4.694055427710924100e+00,2.000000000000000000e+00
-6.137136393931935885e+00,4.940272052408984393e+01,1.000000000000000000e+00
-2.453456492724476590e+01,7.896431596762293736e+01,1.000000000000000000e+00
-2.319011929722251963e+01,-4.912927610139301038e+01,2.000000000000000000e+00
3.456222798595685219e+01,-1.557376375440355787e+01,3.000000000000000000e+00
-6.063145716503510840e+01,5.662500745486540410e+01,1.000000000000000000e+00
-6.506255644508138403e+01,-5.125561344693640109e+00,2.000000000000000000e+00
6.710723103699099568e+01,-2.657635634330851460e+01,3.000000000000000000e+00
1.608024081849044151e+01,5.690751289359570819e+01,1.000000000000000000e+00
-9.798148855086958875e-01,-6.731138790438772901e+01,3.000000000000000000e+00
5.343884430729569601e+01,-2.979158548987136612e+01,3.000000000000000000e+00
-8.715458329134855830e+01,-5.816470095230035042e+01,2.000000000000000000e+00
-2.973682055385186729e+01,6.422359663982818745e+01,1.000000000000000000e+00
5.153724248284338927e+01,-5.229369038109463474e+01,3.000000000000000000e+00
-6.032155948544384927e+01,3.065742262221199610e+00,2.000000000000000000e+00
-6.657617658611019351e+01,-2.922339034351083598e+01,2.000000000000000000e+00
5.792022679695119081e+01,-8.314888112581787283e+00,3.000000000000000000e+00
3.430603249173823599e+01,4.333638312388409020e+01,1.000000000000000000e+00
3.215626837617152489e+01,-3.822112698085459925e+01,3.000000000000000000e+00
4.803127250814699778e+01,-3.831737746658604493e+01,3.000000000000000000e+00
-5.010333441574811530e+01,5.244761789397159646e+01,1.000000000000000000e+00
-5.984595451755402706e+01,6.281053511840297432e+01,1.000000000000000000e+00
-8.901542728772450630e+01,-5.751040216192041754e+01,2.000000000000000000e+00
4.440163527707510127e+01,6.218762999750331488e+01,1.000000000000000000e+00
3.110896475873747491e+01,-1.333282696961640745e+01,3.000000000000000000e+00
-5.424682111437460463e+01,-2.304222135089595724e+01,2.000000000000000000e+00
-9.123909181638302002e+00,4.747868597768635368e+01,1.000000000000000000e+00
3.987170011509919476e+01,3.779555324173310282e+01,1.000000000000000000e+00
4.821018844395189262e+01,-5.989324165573527203e+00,3.000000000000000000e+00
1.114392933883945197e-01,8.001812421323130309e+01,1.000000000000000000e+00
-4.993058682016616245e+01,6.666132642436652134e+01,1.000000000000000000e+00
-6.674213375101189172e+01,-5.473846315635904602e+01,2.000000000000000000e+00
3.730685984282028045e+01,-2.509997712786881774e+00,2.000000000000000000e+00
-3.362547633452935969e+01,9.050775595557911402e+01,1.000000000000000000e+00
7.336743656446232364e+01,-4.805577397282122831e+01,3.000000000000000000e+00
-4.125033431798465244e+01,6.626439470012185495e+01,1.000000000000000000e+00
-7.816006789330003812e+00,-7.162980235699357934e+00,2.000000000000000000e+00
