Y1, Y2, Y3
1.565622205040502735e+01,6.505014115342093817e+01,2.199537322391606864e+01
-3.319681980157506018e+01,-6.245900524486834371e+01,3.972950884424378160e+01
-5.072038331802827571e+01,6.762899953872287995e+01,-9.931353871945665546e+00
-1.889356984526963856e+01,3.751158115407407223e+01,-4.321145464093356736e+01
4.066285155070504231e+01,-5.717070755503860013e+00,-4.324562848261839676e+00
-4.847964381498405828e+01,6.458929399438035546e+01,5.702614389048446419e+00
5.401468648038200371e+01,8.927123014829026815e+00,-2.684606457607343089e+01
5.269944403819910406e+01,-1.069973803887478203e+00,-4.373016749808225967e+00
1.429334362699080430e+01,-3.018619879105806447e+01,-4.101556791218906994e+01
-4.950419579317230756e+01,-1.532907371259901552e+01,-1.156335794008165152e+01
-4.419419342128265527e+01,-6.655050694210754614e+01,1.260977491413192553e+01
1.145972471833166217e+01,-4.719963728801261738e+01,-8.560648289389332533e+00
8.303924495511100901e+00,-3.853089361724112649e+01,-6.557061744570161110e+00
3.893912446436289088e+00,4.204330310854594899e+01,-6.891036893696416143e+00
-2.582931400826969437e+01,-2.368350221593535565e+01,6.136432924097693586e+01
-2.444791608590353249e+01,5.951005483079775615e+01,-2.867035087784951131e+01
4.280506579875319773e+01,3.512372249635195676e+00,-2.707078418755532567e+01
4.387245518638301434e+01,-3.061068982973512931e+00,7.383922897395248874e+00
-5.710735993463913474e+00,-9.946691287678047999e+00,-8.296571962335886496e+01
-6.749436390049514500e+01,-1.009472022646687961e+01,-3.767514234811881124e+01
5.608246849551282054e+00,-4.937019324296139899e+01,5.517764131996244004e+01
-1.168140792146668971e+01,-3.014996038910106435e+01,-3.213579053770444283e+00
1.766307132442678673e+00,-1.876103530576364520e+01,1.107971823672855649e+01
6.436953290802033933e+00,4.162744808029487587e+01,5.453711705416458955e+01
-4.737108732743350004e+01,4.926657421903333756e+01,-3.207523992070337471e+01
6.294816603078749750e+01,-4.356757477596344685e+00,-1.798548566986962527e+01
-3.899494807587142731e+01,-5.070401339858606349e+01,4.213121055600673515e+01
-8.827110988408868764e+00,3.273638427538408990e+01,2.313777449079760729e+01
2.839233249338761311e+01,7.415187299244600183e+01,2.282846665390863450e+01
-2.997937018286587119e+01,1.602336280023493487e+01,3.069521759055872678e+01
4.412434573714654817e+01,-2.671109332095431199e+01,4.951189169635133425e+01
4.120661785431287427e+01,2.571667268554292285e+00,4.141763986935701070e+01
4.081344444410468952e+00,3.996672724699245549e+01,-2.614744742607548034e+01
-3.128548990916605632e+01,3.503543426574673703e+01,2.391911688246021228e+01
4.127938807565967494e+01,-2.341310274799979219e+00,5.115766278374906051e+01
3.452295727165686401e+01,2.958394520545787110e+00,-3.582569428707382997e+01
-4.384843521695498225e+01,-1.381207691066049925e+01,-6.660836474712899857e+00
-3.545765453968693137e+00,-4.256057087359533853e+01,-4.465109323830002808e+01
-3.281221861224921810e+01,-1.024588208130004219e+01,2.660726403168308662e-01
4.601157983817905262e+01,5.551134407584238062e+01,1.196649691016800787e+01
-5.103533058830088009e+01,-1.390776841997276669e+01,-5.390055794161944647e+01
-4.152304743143528754e+01,7.546901799351716988e+01,-1.672484244899840888e+01
-8.773469476724685023e+00,2.877973822264574721e+01,2.970763635625619159e+01
1.168484907685464691e+01,6.091213078535445646e+01,4.245585654369129003e+01
-3.392793166448574738e+01,-7.913294158196275241e+00,5.516069462514778365e+01
3.062817194639670149e+01,-4.176341139604907227e+01,-1.977117318513327859e+01
-1.103477905769850409e+01,-3.344183102063323076e+01,5.835694441623479634e+01
-2.673597752359140856e+01,6.769310483259364730e+01,-2.888173918405431451e+01
6.042386832818804265e+01,2.439412242188065516e+00,-2.689594907359986919e+01
-1.465156038458743915e+01,-3.118575635455023232e+01,5.889047523441463738e+01
-8.431171062792664372e+00,-5.112797004217203067e+01,5.314936739341415262e+01
6.162929118632526126e+01,1.037552363455216176e+00,-2.411002450347978865e+01
-1.993128261195986628e+00,-3.335856794955454774e+01,-3.980246315622265030e+01
8.889551243999449071e+00,-5.202538693048814622e+01,4.731153260539887384e+01
