Y1, Y2, Y3
-2.768762393871478267e+01,6.402899591106016430e+01,-2.624821909567446321e-01
-7.444682522316047368e+01,4.605607194490116463e+00,-1.481767656089773055e+01
-2.535379273391493626e+01,6.438574243843901534e+00,-1.766586828502704165e+01
2.102096004281048636e+01,-3.027867016158289459e+01,-7.201249506283716073e+01
3.661197476258540462e+01,8.063531119590800600e+00,5.787211252363208303e+01
-2.825156233705427411e+01,6.939420897072361427e+00,-8.937583696731870475e+00
2.757208072509190799e+01,-1.325515145642686798e+00,4.408931325874884521e+01
4.474392017170051616e+01,3.713198995323380558e+01,2.024469059323591935e+01
4.883043464071020878e+01,-5.335429336572337888e+01,1.663794926213317815e+00
-1.631183704604821472e+01,2.961677833376457514e+01,3.043926322236132620e+01
3.356064277842187238e+01,-8.208451184435144654e+00,-7.382294505570956744e+01
-1.039013621491090511e+01,4.460819002482807605e+01,7.538872889278880507e+01
6.245702333939596507e+00,3.216631598618609900e+01,3.340873480050979794e+01
3.123819480272777227e+01,-2.182099285081676143e+01,-6.483401218842180924e+01
-4.386715385165572911e+01,2.009202703093368925e+01,-4.343700877910085723e+01
6.798342058304609736e+01,-1.521849293956784877e+01,-1.027415721411648697e+01
3.597747557646602701e+01,4.140383663858185059e+01,4.010851910399380671e+01
-2.530237375791484666e+01,6.784206025287001296e+01,-1.274181521994977917e+00
6.770092528605475479e+01,2.766167101691560659e-01,-1.192330835706910186e+01
2.883262263967265326e+01,3.974879917056051148e+00,4.166419768572910698e+01
-9.641241605755183741e+00,2.660871106189585333e+01,2.038154768289527397e+01
-2.590800790811890408e+01,1.138365458489501947e+01,6.372846180708133090e+01
-3.981369332632840763e+00,4.011562620807699631e+01,7.312856292996526975e+01
3.784741395856610069e+01,-4.867501392996489074e+01,1.753285329254095970e+01
3.925279926021347876e+01,1.227394842847686185e+01,3.736801561560508844e+01
1.200818870419088391e+01,-1.457830601462195341e+00,-9.157085626687602087e+01
6.116275949523434896e+00,7.358893636820842232e+01,-6.673664085412032598e+00
3.244547585523262256e+01,8.768653003157162118e+00,5.276957339164797389e+01
